Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,U.FL-R-SMT-1_80,UFLRSMT180,124.14,-43.315,0.0,top
J4,2002112100010C4LF,2002112100010C4LF,91.5,-42.45,270.0,bottom
J5,640445-2,CONN2_640445-2_TEC,73.9438,-46.65,180.0,bottom
J6,Conn_01x01,,64.2,-54.75,90.0,top
J7,Conn_01x01,,61.0,-54.8,90.0,top
J8,Conn_01x01,,83.3,-82.85,16.75,top
J9,Conn_01x01,,70.33,-89.7,40.0,top
L1,10uH,WE-LHMI_4020,74.8,-58.5,90.0,top
L2,10uH,L_0805_2012Metric,93.25,-43.8,180.0,top
L3,2nH,L_0402_1005Metric,110.195,-45.58,0.0,top
L7,15nH,L_0402_1005Metric,109.75,-44.31,0.0,top
Q1,SQJ415EP-T1_GE3,SOT_SQJ415EP_VIS,83.0,-43.4399,0.0,top
R1,100k,R_0402_1005Metric,97.318983,-66.448645,0.0,top
R10,9.09,R_0402_1005Metric,54.984765,-83.942631,-135.0,top
R100,1k,R_0402_1005Metric,114.25,-50.05,180.0,top
R101,10k,R_0402_1005Metric,95.05,-48.5,180.0,top
R102,1k,R_0402_1005Metric,115.6,-59.3,-90.0,top
R103,1k,R_0402_1005Metric,112.15,-59.3,-90.0,top
R104,100k,R_0402_1005Metric,96.05,-46.35,0.0,top
R105,0,R_0402_1005Metric,109.8,-56.85,90.0,top
R106,0,R_0402_1005Metric,110.9,-56.85,90.0,top
R107,1k,R_0402_1005Metric,117.32,-59.2,90.0,top
R108,10k,R_0402_1005Metric,109.0,-61.6,0.0,top
R109,10k,R_0402_1005Metric,105.54,-56.44,180.0,top
R11,100k,R_0402_1005Metric,52.47302,-86.98775,56.25,top
R110,2.2k,R_0402_1005Metric,105.52,-55.26,180.0,top
R112,0,R_0402_1005Metric,116.51,-45.08,-90.0,top
R113,0,R_0402_1005Metric,116.51,-39.5,-90.0,top
R114,1k,R_0402_1005Metric,118.1,-50.725,0.0,top
R116,100k,R_0402_1005Metric,88.475,-46.7,180.0,top
R117,100k,R_0402_1005Metric,88.5,-45.525,0.0,top
R118,10k,R_0402_1005Metric,90.8,-49.05,0.0,top
R119,10k,R_0402_1005Metric,90.8,-47.95,0.0,top
R12,9.09,R_0402_1005Metric,48.961816,-92.242638,-123.75,top
R13,100k,R_0402_1005Metric,47.092408,-95.719263,67.5,top
R14,9.09,R_0402_1005Metric,44.673848,-101.558182,-112.5,top
R15,100k,R_0402_1005Metric,43.518616,-105.332708,78.75,top
R16,9.09,R_0402_1005Metric,42.285645,-111.531271,-101.25,top
R17,100k,R_0402_1005Metric,41.888983,-115.458645,90.0,top
R18,9.09,R_0402_1005Metric,41.888983,-121.778645,-90.0,top
R19,100k,R_0402_1005Metric,42.266136,-125.707941,101.25,top
R2,9.09,R_0402_1005Metric,90.998983,-66.448645,180.0,top
R20,9.09,R_0402_1005Metric,43.499107,-131.906504,-78.75,top
R21,100k,R_0402_1005Metric,44.63558,-135.686721,112.5,top
R22,9.09,R_0402_1005Metric,47.054139,-141.525639,-67.5,top
R23,100k,R_0402_1005Metric,48.906259,-145.011505,123.75,top
R24,9.09,R_0402_1005Metric,52.417463,-150.266393,-56.25,top
R25,100k,R_0402_1005Metric,54.914054,-153.323948,135.0,top
